Variable,Obs,Mean,Median,Std Dev,Min,Max
Gold Nominal Return,119,1.42,1.06,3.56,-5.84,12.57
Bitcoin Nominal Return,119,6.93,4.79,20.85,-36.29,64.77
Gold Real Return,119,1.3,0.82,3.51,-5.94,12.66
Bitcoin Real Return,119,6.8,4.82,20.84,-36.09,64.57
CPI YoY Inflation,120,1.32,0.8,1.46,-1.19,4.39
Policy Rate,120,-0.01,-0.1,0.2,-0.1,0.75
