Country,Asset,Obs,Inflation Beta (MoM),Beta p-value,Policy Rate Coef,Rate p-value,R-squared
USA,Gold,119,-2.248342509722603,0.04355436208055573,0.36177443303749307,0.0488362886103625,0.05842625838497595
USA,Bitcoin,119,-10.35693143102401,0.18516287120310337,-1.1030372815077372,0.23932332269910517,0.023934140209007415
Switzerland,Gold,119,-2.0899086712787267,0.11583561352808672,0.4128097749720121,0.2402564980852202,0.03224388116174837
Switzerland,Bitcoin,119,0.31274394665062427,0.9741043253176204,-0.8033043990548869,0.6878377758848983,0.0011747465997402617
Japan,Gold,119,0.8819171994767134,0.4156897342363447,4.845652388315123,0.0021315307898408355,0.08588542137843924
Japan,Bitcoin,119,2.861390113639976,0.6185732459047758,-12.424334254090498,0.036997926092715905,0.014199704523292667
Argentina,Gold,119,1.6671920914615816,0.20035547256212038,-0.1445776829144027,0.2951489091348901,0.10347705980477917
Argentina,Bitcoin,119,2.1282239432449206,0.19652800851483643,-0.23566355829084634,0.16721534305538144,0.04074042612099349
