Country,Asset,Obs,Inflation Beta,Beta p-value,Policy Rate Coef,Rate p-value,R-squared
USA,Gold,119,-0.23309323472672216,0.17029058596456115,0.40897198889883585,0.01886650351809675,0.048117256172346856
USA,Bitcoin,119,-2.4968676436328283,0.0005145297887062133,-0.6862529909332035,0.40674107901827683,0.06922999609389247
Switzerland,Gold,119,-0.5389794964534494,0.07895811643990973,0.719270381253196,0.06340612971170685,0.03414416984510982
Switzerland,Bitcoin,119,-3.9966234360216664,0.019415191274732645,1.5347892946832726,0.47822374345565877,0.03605655635795302
Japan,Gold,119,0.2233716227799037,0.19191220148689736,4.388612558137619,0.008825289903463148,0.09209488442342484
Japan,Bitcoin,119,-2.13946953115893,0.17940191015384122,-3.5192578856740018,0.6549344378329969,0.02888514398363662
Argentina,Gold,119,0.01709198816366676,0.4265199213555173,0.12176032006960717,0.005920835249681164,0.07394609805048513
Argentina,Bitcoin,119,0.013711258391618044,0.7440654306038399,0.0847246885775671,0.39484753808900097,0.011305364838767207
