Country,Asset,YoY Beta,YoY p-value,MoM Beta,MoM p-value
USA,Gold,-0.3063319643689062,0.06599312507694553,-2.248342509722603,0.04355436208055573
USA,Bitcoin,-2.5701063732750122,0.0003560881818118278,-10.35693143102401,0.18516287120310337
Switzerland,Gold,-0.6276340690081463,0.03625828652298407,-2.0899086712787267,0.11583561352808672
Switzerland,Bitcoin,-4.085278008576364,0.01697146123223856,0.31274394665062427,0.9741043253176204
Japan,Gold,0.13660533856363669,0.43643538070541554,0.8819171994767134,0.4156897342363447
Japan,Bitcoin,-2.2262358153751967,0.16390251856762628,2.861390113639976,0.6185732459047758
Argentina,Gold,-0.00011761510671145276,0.9944160221700873,1.6671920914615816,0.20035547256212038
Argentina,Bitcoin,-0.0034983448787601614,0.9228135691307777,2.1282239432449206,0.19652800851483643
