Country,Asset,Real Beta,Real p-value,Nominal Beta,Nominal p-value
USA,Gold,-0.3063319643689062,0.06599312507694553,-0.23309323472672216,0.17029058596456115
USA,Bitcoin,-2.5701063732750122,0.0003560881818118278,-2.4968676436328283,0.0005145297887062133
Switzerland,Gold,-0.6276340690081463,0.03625828652298407,-0.5389794964534494,0.07895811643990973
Switzerland,Bitcoin,-4.085278008576364,0.01697146123223856,-3.9966234360216664,0.019415191274732645
Japan,Gold,0.13660533856363669,0.43643538070541554,0.2233716227799037,0.19191220148689736
Japan,Bitcoin,-2.2262358153751967,0.16390251856762628,-2.13946953115893,0.17940191015384122
Argentina,Gold,-0.00011761510671145276,0.9944160221700873,0.01709198816366676,0.4265199213555173
Argentina,Bitcoin,-0.0034983448787601614,0.9228135691307777,0.013711258391618044,0.7440654306038399
